date,temperature,max_temperature,min_temperature,rainfall,humidity,wind_speed
2015-10-30,22.0,29.51,16.15,1.0,47.99,1.2
2015-10-31,22.86,30.9,15.61,0.0,40.64,1.09
2015-11-01,22.95,30.32,17.01,0.0,41.23,0.91
2015-11-02,23.31,30.76,16.32,0.0,43.18,1.09
2015-11-03,23.89,30.6,18.12,0.0,44.47,1.12
2015-11-04,24.64,30.77,19.54,0.0,41.71,0.81
2015-11-05,24.93,30.9,18.02,0.77,41.5,0.95
2015-11-06,24.05,30.7,19.33,0.01,41.03,1.18
2015-11-07,22.38,29.91,15.98,0.0,41.75,1.01
2015-11-08,22.26,28.6,17.62,0.02,44.41,1.24
2015-11-09,23.55,31.28,16.88,0.0,44.2,1.16
2015-11-10,23.48,30.57,18.77,0.0,46.27,1.3
2015-11-11,22.25,30.96,16.3,0.0,39.76,2.76
2015-11-12,21.69,30.91,14.73,0.0,42.43,2.38
2015-11-13,22.37,30.95,15.49,0.0,42.78,2.41
2015-11-14,22.78,30.45,16.97,0.0,50.59,2.09
2015-11-15,23.53,31.16,17.19,0.0,40.31,1.25
2015-11-16,21.67,29.64,16.04,0.0,41.01,1.94
2015-11-17,19.34,29.02,12.27,0.0,27.78,2.22
2015-11-18,18.67,28.98,10.45,0.0,29.84,1.84
2015-11-19,18.87,28.53,11.44,0.0,29.49,1.34
2015-11-20,19.57,28.84,12.64,0.0,29.45,1.17
2015-11-21,19.93,28.97,12.41,0.0,34.37,1.1
2015-11-22,19.99,29.11,12.5,0.0,31.29,1.44
2015-11-23,19.82,28.58,12.52,0.0,27.84,1.25
2015-11-24,19.19,28.73,12.29,0.0,32.04,1.98
2015-11-25,20.32,30.42,12.87,0.0,29.82,2.82
2015-11-26,20.96,27.18,15.32,0.11,33.03,1.23
2015-11-27,20.68,27.75,15.13,0.11,47.67,1.1
2015-11-28,20.37,27.22,15.9,0.0,52.14,1.41
2015-11-29,19.69,28.14,12.52,0.0,37.87,1.16
2015-11-30,20.18,29.64,13.61,0.0,38.77,1.19
2015-12-01,20.37,29.18,13.24,0.34,39.84,1.29
2015-12-02,18.1,25.56,12.84,1.19,43.29,1.7
2015-12-03,18.21,27.19,11.73,0.0,41.63,2.43
2015-12-04,18.16,27.29,10.6,0.0,35.83,2.19
2015-12-05,18.95,27.86,12.52,0.0,28.37,1.3
2015-12-06,19.21,26.97,12.09,0.0,24.43,0.79
2015-12-07,19.66,27.24,12.47,0.0,27.09,1.03
2015-12-08,20.13,28.64,13.68,0.0,28.01,0.88
2015-12-09,18.52,26.65,11.13,0.0,31.57,1.54
2015-12-10,18.88,28.37,11.55,0.0,32.99,1.69
2015-12-11,18.08,25.38,12.91,0.03,36.71,1.76
2015-12-12,14.89,22.9,8.72,0.0,31.61,2.22
2015-12-13,13.7,22.08,7.31,0.0,28.44,1.94
2015-12-14,13.11,22.3,7.01,0.0,26.99,2.46
2015-12-15,12.97,23.77,5.3,0.0,21.62,2.38
2015-12-16,14.98,24.45,6.49,0.0,18.58,0.96
2015-12-17,14.84,22.84,9.04,0.0,18.46,1.05
2015-12-18,12.72,22.46,5.75,0.0,22.98,2.26
2015-12-19,13.97,23.12,5.11,0.0,20.93,1.63
2015-12-20,14.01,22.19,7.77,0.0,20.22,0.97
2015-12-21,12.84,21.66,4.72,0.0,26.35,1.34
2015-12-22,13.23,20.81,7.48,0.0,30.39,1.14
2015-12-23,12.19,20.3,5.26,0.0,29.34,1.58
2015-12-24,12.35,20.46,6.88,0.0,28.11,2.55
2015-12-25,11.12,21.24,3.26,0.0,22.33,2.26
2015-12-26,14.0,25.11,5.95,0.0,16.66,2.52
2015-12-27,16.15,25.58,9.66,0.0,18.21,2.41
2015-12-28,17.69,26.72,11.03,0.0,30.0,2.78
2015-12-29,17.61,27.01,11.61,0.0,30.47,2.86
2015-12-30,16.7,25.98,9.3,0.0,24.76,1.57
2015-12-31,15.62,25.67,7.99,0.0,28.02,1.46
